ts,lat,lon,alt_ft,agl_ft,heading_deg,pitch_deg,roll_deg,vcas_kt,vs_fps,wow
1789852136.4264994,36.15,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852136.5264993,36.150036967301475,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852136.6264994,36.15007393460294,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852136.7264993,36.15011090190442,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852136.8264995,36.15014786920589,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852136.9264994,36.150184836507364,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.0264993,36.15022180380884,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.1264994,36.15025877111031,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.2264993,36.150295738411785,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.3264995,36.15033270571326,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.4264994,36.15036967301473,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.5264993,36.150406640316206,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.6264994,36.150443607617675,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.7264993,36.15048057491915,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.8264995,36.150517542220626,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852137.9264994,36.150554509522095,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.0264993,36.15059147682357,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.1264994,36.15062844412504,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.2264993,36.150665411426516,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.3264995,36.15070237872799,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.4264994,36.15073934602946,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.5264993,36.15077631333094,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.6264994,36.15081328063241,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.7264993,36.15085024793388,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.8264995,36.15088721523536,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852138.9264994,36.150924182536826,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.0264993,36.1509611498383,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.1264994,36.15099811713978,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.2264993,36.15103508444125,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.3264995,36.15107205174272,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.4264994,36.15110901904419,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.5264993,36.15114598634567,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.6264994,36.151182953647144,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.7264993,36.15121992094861,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.8264995,36.15125688825009,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852139.9264994,36.151293855551565,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.0264993,36.15133082285303,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.1264994,36.15136779015451,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.2264993,36.15140475745598,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.3264995,36.151441724757454,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.4264994,36.15147869205893,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.5264993,36.1515156593604,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.6264994,36.151552626661875,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.7264993,36.15158959396335,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.8264995,36.15162656126482,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852140.9264994,36.151663528566296,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.0264993,36.151700495867765,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.1264994,36.15173746316924,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.2264993,36.15177443047072,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.3264995,36.151811397772185,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.4264994,36.15184836507366,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.5264993,36.15188533237513,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.6264994,36.151922299676606,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.7264993,36.15195926697808,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.8264995,36.15199623427955,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852141.9264994,36.15203320158103,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.0264993,36.1520701688825,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.1264994,36.15210713618397,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.2264993,36.15214410348545,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.3264995,36.15218107078692,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.4264994,36.15221803808839,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.5264993,36.15225500538987,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.6264994,36.15229197269134,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.7264993,36.15232893999281,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.8264995,36.15236590729428,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852142.9264994,36.15240287459576,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.0264993,36.152439841897234,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.1264994,36.1524768091987,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.2264993,36.15251377650018,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.3264995,36.152550743801655,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.4264994,36.15258771110312,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.5264993,36.1526246784046,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.6264994,36.15266164570607,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.7264993,36.152698613007544,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.8264995,36.15273558030902,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852143.9264994,36.15277254761049,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.0264993,36.152809514911965,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.1264994,36.152846482213434,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.2264993,36.15288344951491,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.3264995,36.152920416816386,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.4264994,36.152957384117855,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.5264993,36.15299435141933,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.6264994,36.15303131872081,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.7264993,36.153068286022275,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.8264995,36.15310525332375,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852144.9264994,36.15314222062522,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.0264993,36.153179187926696,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.1264994,36.15321615522817,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.2264993,36.15325312252964,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.3264995,36.15329008983112,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.4264994,36.153327057132586,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.5264993,36.15336402443406,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.6264994,36.15340099173554,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.7264993,36.15343795903701,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.8264995,36.15347492633848,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852145.9264994,36.15351189363996,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.0264993,36.15354886094143,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.1264994,36.1535858282429,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.2264993,36.15362279554437,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.3264995,36.15365976284585,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.4264994,36.153696730147324,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.5264993,36.15373369744879,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.6264994,36.15377066475027,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.7264993,36.153807632051745,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.8264995,36.153844599353214,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852146.9264994,36.15388156665469,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.0264993,36.15391853395616,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.1264994,36.153955501257634,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.2264993,36.15399246855911,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.3264995,36.15402943586058,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.4264994,36.154066403162055,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.5264993,36.154103370463524,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.6264994,36.154140337765,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.7264993,36.154177305066476,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.8264995,36.154214272367945,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852147.9264994,36.15425123966942,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.0264993,36.1542882069709,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.1264994,36.154325174272365,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.2264993,36.15436214157384,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.3264995,36.15439910887531,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.4264994,36.154436076176786,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.5264993,36.15447304347826,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.6264994,36.15451001077973,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.7264993,36.15454697808121,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.8264995,36.154583945382676,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852148.9264994,36.15462091268415,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.0264993,36.15465787998563,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.1264994,36.1546948472871,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.2264993,36.15473181458857,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.3264995,36.15476878189005,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.4264994,36.15480574919152,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.5264993,36.15484271649299,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.6264994,36.15487968379446,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.7264993,36.15491665109594,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.8264995,36.154953618397414,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852149.9264994,36.15499058569888,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.0264993,36.15502755300036,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.1264994,36.15506452030183,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.2264993,36.155101487603304,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.3264995,36.15513845490478,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.4264994,36.15517542220625,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.5264993,36.155212389507724,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.6264994,36.1552493568092,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.7264993,36.15528632411067,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.8264995,36.155323291412145,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852150.9264994,36.155360258713614,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.0264993,36.15539722601509,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.1264994,36.155434193316566,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.2264993,36.155471160618035,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.3264995,36.15550812791951,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.4264994,36.15554509522098,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.5264993,36.155582062522456,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.6264994,36.15561902982393,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.7264993,36.1556559971254,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.8264995,36.155692964426876,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852151.9264994,36.15572993172835,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.0264993,36.15576689902982,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.1264994,36.1558038663313,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.2264993,36.155840833632766,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.3264995,36.15587780093424,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.4264994,36.15591476823572,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.5264993,36.15595173553719,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.6264994,36.15598870283866,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.7264993,36.15602567014014,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.8264995,36.15606263744161,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852152.9264994,36.15609960474308,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.0264993,36.15613657204455,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.1264994,36.15617353934603,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.2264993,36.156210506647504,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.3264995,36.15624747394897,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.4264994,36.15628444125045,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.5264993,36.15632140855192,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.6264994,36.156358375853394,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
1789852153.7264993,36.15639534315487,-114.35,8000.0,8000.0,0.0,2.0,0.0,80,0.0,0
